document_id,file_name,requirement_id,requirement_text,word_count,extraction_confidence,has_modal,has_number,testable_signal,vague_terms_found,incomplete_signals,subjective_terms_found,seed_label,seed_primary_label,human_label,human_primary_label,review_notes,llm_prediction,llm_rationale,llm_source_span,llm_rewrite,llm_confidence,accepted_by_human,alpha_ratio,bad_artifact
50c620f074,2004 - watcom gui.pdf,50c620f074_R0013,As long as in Windows and OS/2 environments user interface controls are placed according to the specified coordinates we must replicate this in GTK using the following widget hierarchy:,30,high,True,True,True,,trailing_colon,low,incompleteness,incompleteness,,,,,,,,,,0.8324324324324325,False
d5a72dc87e,2002 - sce api.pdf,d5a72dc87e_R0008,The scope of this document shall be restricted to what is specifically referred to herein as the Standard Co-Emulation API:,21,high,True,False,False,,trailing_colon,,incompleteness,incompleteness,,,,,,,,,,0.8292682926829268,False
d9e6063902,2004 - rlcs.pdf,d9e6063902_R0209,"3.2.4 Data Processing and Security The RLCS shall store, process, and retrieve all data necessary to operate the application software as well as generate current and historical reports of system operations, and export system status data to an external server data store.",44,high,True,True,True,,compound_requirement,,incompleteness,incompleteness,,,,,,,,,,0.8148148148148148,False
1db87538e8,2004 - philips.doc,1db87538e8_R0037,"If the product is independent and totally self-contained, it should be",12,high,True,False,False,,,,clean,clean,,,,,,,,,,0.8285714285714286,False
acd39aad8f,0000 - cctns.pdf,acd39aad8f_R0019,"The System must maintain the audit trail for as long as required, which will be at least for the life of the case to which it refers.",27,high,True,False,True,,,,clean,clean,,,,,,,,,,0.7894736842105263,False
69f4f47b18,2003 - pnnl.pdf,69f4f47b18_R0295,3.5.1.18 The condition window shall list the current status of all diagnostics for a specific subsystem.,19,high,True,True,True,,,,clean,clean,,,,,,,,,,0.7692307692307693,False
d9e6063902,2004 - rlcs.pdf,d9e6063902_R0235,"3.2.4.5.5 For system login purposes, the hash function shall will also be used to encrypt user passwords.",21,high,True,True,True,,,,clean,clean,,,,,,,,,,0.7428571428571429,False
9889de5526,2002 - evla back.pdf,9889de5526_R0133,Description Data Receive – The BE shall receive incoming data packets from the Correlator to Backend network interface.,17,high,True,False,False,,,,clean,clean,,,,,,,,,,0.8403361344537815,False
29def46a9b,2004 - ijis.doc,29def46a9b_R0023,| |must be qualified by the Administrative Judicial |,7,high,True,False,False,,,,clean,clean,,,,,,,,,,0.7924528301886793,False
63478ef7e0,2001 - ctc network.pdf,63478ef7e0_R0085,The map user shall be able to alter the current magnification (zoom level) of the map.,16,high,True,False,False,,,,clean,clean,,,,,,,,,,0.7906976744186046,False
e63551dcc3,2009 - video search.pdf,e63551dcc3_R0105,"5.4 Legal Requirements While all safety measures resulting from the site may not be fully identified, a recommendation of a full legal review of the software should be undertaken before the site is available to the public.",38,high,True,True,True,,,,clean,clean,,,,,,,,,,0.8153153153153153,False
63762168d3,1998 - themas.pdf,63762168d3_R0287,"Each time an alarm is requested, an alarm event shall be recorded.",12,high,True,False,True,,,,clean,clean,,,,,,,,,,0.803030303030303,False
7dfd402cda,2001 - esa.pdf,7dfd402cda_R0077,ASPERA-3 data shall be provided to NASA PDS in PDS-compliant form.,13,high,True,True,True,,,,clean,clean,,,,,,,,,,0.7878787878787878,False
74a1aafc90,2007 - ertms.pdf,74a1aafc90_R0164,"If the train or the shunting movement exceeds the permitted ceiling speed by a certain harmonised margin, the trainborne equipment shall execute a brake intervention until the actual speed does not exceed permitted speed;",34,high,True,False,False,,,,clean,clean,,,,,,,,,,0.8416289592760181,False
50c620f074,2004 - watcom gui.pdf,50c620f074_R0102,Should make the GtkStatus invisible using Gtk_widget_hide(),7,high,True,False,False,,,,clean,clean,,,,,,,,,,0.8305084745762712,False
7342470c8d,2009 - model manager.pdf,7342470c8d_R0076,How customizable should post-processing be?,6,high,True,False,False,,,,clean,clean,,,,,,,,,,0.8604651162790697,False
3a111cfea5,2005 - clarus high.doc,3a111cfea5_R0272,|P-025 |The Clarus system shall respond |MHI | |H |,9,high,True,True,True,,,,clean,clean,,,,,,,,,,0.6274509803921569,False
aa7a342a3e,2009 - peazip.pdf,aa7a342a3e_R0006,"Software engineers should ask for further explanation or clarification, if and wherever they decide this is necessary and should not proceed to modifications without the approval of the final client/user.",31,high,True,False,False,,,,clean,clean,,,,,,,,,,0.8431372549019608,False
2f144c663b,2006 - stewards.pdf,2f144c663b_R0123,"Where there is an exception, the software/hardware requirement should be specified for a particular application.",16,high,True,False,False,,,,clean,clean,,,,,,,,,,0.8482142857142857,False
2e157a65bc,2010 - fishing.pdf,2e157a65bc_R0095,Values must conform to UTC standards.),6,high,True,False,False,,,,clean,clean,,,,,,,,,,0.8157894736842105,False
d0268483f8,2008 - vub.pdf,d0268483f8_R0168,"The PMS must be able to run on Linux, more specifically the Wilma web server.",15,high,True,False,False,,,,clean,clean,,,,,,,,,,0.7922077922077922,False
b96c5eb6b6,2007 - water use.pdf,b96c5eb6b6_R0233,"Once the MFL has been considered met, if it is followed by two years where the MFL is not met within a rolling ten-year period, then the AFL shall be considered below the MFL.",35,high,True,False,True,,,low,clean,clean,,,,,,,,,,0.7885714285714286,False
266176c3ef,2005 - phin.pdf,266176c3ef_R0170,"2.5.5.1 Laboratory results should be linked to laboratory test requests, which are linked to subjects.",18,high,True,True,True,,,,clean,clean,,,,,,,,,,0.7745098039215687,False
0f0183a401,2001 - beyond.pdf,0f0183a401_R0031,Dialogs which it doesn't understand clearly should be handled properly to limit user frustration.,15,high,True,False,False,,,,clean,clean,,,,,,,,,,0.845360824742268,False
d2fbe92214,2009 - inventory 2.0.pdf,d2fbe92214_R0316,Vertical Response App must be installed in Salesforce and consider storage consumption,12,high,True,False,False,,,,clean,clean,,,,,,,,,,0.872093023255814,False
5c4a6d88e4,1999 - dii.htm,5c4a6d88e4_R0009,"In the fixed (static) mode of operation (base or data processing megacenter), the data management services shall have the capability of being tuned by on-site personnel to adjust for varying workloads and sizes of associated databases.",37,high,True,False,False,,,,clean,clean,,,,,,,,,,0.8212765957446808,False
f9bd9c1124,2007 - e-store.doc,f9bd9c1124_R0212,This usually shall be the third,6,high,True,False,False,,,,clean,clean,,,,,,,,,,0.8387096774193549,False
df8ded12c8,2004 - watcom.pdf,df8ded12c8_R0119,It should be used together with ABI documentation.,8,high,True,False,False,,,,clean,clean,,,,,,,,,,0.84,False
cd311b5e67,2009 - email.pdf,cd311b5e67_R0049,List the basic functional requirements – what capabilities should the service provide.,11,high,True,False,False,,,,clean,clean,,,,,,,,,,0.8488372093023255,False
4c4c0aa095,2005 - triangle.pdf,4c4c0aa095_R0063,The system must always provide the artificial intelligence that can play using random moves.,14,high,True,False,False,,,,clean,clean,,,,,,,,,,0.8478260869565217,False
348c2b1f7d,2007 - puget sound.pdf,348c2b1f7d_R0128,These blogs should share authentication and notification with Moodle.,9,high,True,False,False,,,,clean,clean,,,,,,,,,,0.8695652173913043,False
71de4b6315,2001 - space fractions.pdf,71de4b6315_R0049,The user's score must be kept as local data within the game so that the results may be given at the end of the game.,26,high,True,False,True,,,,clean,clean,,,,,,,,,,0.7758620689655172,False
137ef3122c,2005 - nenios.html,137ef3122c_R0082,The background color of all windows shall be blue.,9,high,True,False,False,,,,clean,clean,,,,,,,,,,0.82,False
02085a94bf,2008 - caiso.pdf,02085a94bf_R0021,"The Black Start Test should include key operating aids used in Black Starts such as telephone communications and SCADA, if applicable.",21,high,True,False,False,,,,clean,clean,,,,,,,,,,0.835820895522388,False
74e58203c4,2011 - opensg 0.1.doc,74e58203c4_R0027,This should be an instantiation of the business services,9,high,True,False,False,,,,clean,clean,,,,,,,,,,0.8571428571428571,False
cac3ac0306,1999 - tcs.pdf,cac3ac0306_R0824,"3.15.1.5 Preparation Time The TCS shall be configurable for sea, ground, as well as air transport in 2 hours or less.",24,high,True,True,True,,,,clean,clean,,,,,,,,,,0.7264957264957265,False
5293a14ed2,2007 - get real 0.2.pdf,5293a14ed2_R0075,5.3 Software Quality Attributes Web design conventions should be consistent with the standards and conventions used on the OUS site.,21,high,True,True,True,,,,clean,clean,,,,,,,,,,0.8257575757575758,False
0af6fa42c1,2007 - nlm.doc,0af6fa42c1_R0225,Within the Replace Media function the Content Information and Preservation Description Information (PDI) must not be altered.,17,high,True,False,True,,,,clean,clean,,,,,,,,,,0.848,False
705a122293,2002 - evla corr.pdf,705a122293_R0102,"shall have an externally visible indicator (LED or other) that will provide a user with a physical indication of CMIB operational status (red = fault, green = ok).",26,high,True,False,False,,,,clean,clean,,,,,,,,,,0.7852760736196319,False
58c3b15e9f,2009 - library.pdf,58c3b15e9f_R0022,System Administration Module shall use a fully relational database back-end.,11,high,True,False,False,,,,clean,clean,,,,,,,,,,0.8552631578947368,False
1aab4b911a,2004 - colorcast.pdf,1aab4b911a_R0042,"We understand that in any design choice, precedence should be given to the implementation of a completely web-based client.",20,high,True,False,False,,,,clean,clean,,,,,,,,,,0.8292682926829268,False
5c9aabb311,2006 - eirene sys 15.pdf,5c9aabb311_R0149,The random vibrations to be withstood by mobile equipment shall be 0.25g in all three axes of freedom.,19,high,True,True,True,,,,clean,clean,,,,,,,,,,0.7843137254901961,False
502e30223d,2001 - hats.pdf,502e30223d_R0351,Each SDT shall be displayed in a separate window.,9,high,True,False,True,,,,clean,clean,,,,,,,,,,0.8163265306122449,False
